"Ticker","Rank-2008","Rank-2009","Rank-2010","Rank-2011","Rank-2012","Rank-2013","Rank-2014","Rank-2015","Rank-2016","Rank-2017","Rank-2018"
"ALSK",0,0,23,62,86,73,28,86,65,56,59
"CBB",0,21,42,58,52,28,72,77,76,65,0
"CNSL",0,0,42,78,62,74,77,59,76,96,32
"CTL",0,6,55,72,74,45,77,70,72,75,34
"EGHT",0,0,54,112,98,80.5,88,78,94,55.5,0
"FTR",0,25,66,82,69,62,85,77,64,52,0
"HCHC",0,0,23,46,78,66.5,63,66,60,71,72
"IDT",0,0,0,38,69,57,81,80,61.5,63.5,44
"S",8,19,29,52,52,0,31,62,80.5,103,0
"T",11,41,67,51,73,81,70,95,81,84,66
"TMUS",0,19,57,63,66,62,86,91,102,97,62
"VZ",17,39,50,84,79,97,83,87,85,94,63
"ZAYO",0,0,0,0,0,0,32,73,84,89,63
